,Unnamed: 0,Unnamed: 0.1,tconst,titleType,primaryTitle,Like,isAdult,startYear,runtimeMinutes,genres
85,113,459201,tt0477302,movie,Extremely Loud & Incredibly Close,2.0,0,2011,129,"Adventure,Drama,Mystery"
93,122,462472,tt0480687,movie,Hall Pass,2.0,0,2011,105,"Comedy,Romance"
120,162,751899,tt0775489,movie,The Illusionist,1.0,0,2010,90,"Animation,Drama,Family"
122,164,756776,tt0780504,movie,Drive,1.0,0,2011,100,"Crime,Drama"
131,178,775972,tt0800320,movie,Clash of the Titans,2.0,0,2010,106,"Action,Adventure,Fantasy"
133,180,776015,tt0800369,movie,Thor,1.0,0,2011,115,"Action,Adventure,Fantasy"
150,201,792405,tt0817230,movie,Valentine's Day,1.0,0,2010,125,"Comedy,Romance"
158,211,814741,tt0840361,movie,The Town,1.0,0,2010,125,"Crime,Drama,Thriller"
204,265,866112,tt0893412,movie,From Prada to Nada,2.0,0,2011,107,"Comedy,Drama,Romance"
226,293,897547,tt0926084,movie,Harry Potter and the Deathly Hallows: Part 1,1.0,0,2010,146,"Adventure,Family,Fantasy"
239,311,918651,tt0947810,movie,Green Zone,1.0,0,2010,115,"Action,Drama,Thriller"
309,4774,1052961,tt1014759,movie,Alice in Wonderland,2.0,0,2010,108,"Adventure,Family,Fantasy"
343,8730,1126958,tt1027718,movie,Wall Street: Money Never Sleeps,1.0,0,2010,133,Drama
362,11892,1189287,tt1038686,movie,Legion,2.0,0,2010,100,"Action,Fantasy,Horror"
767,35828,2075088,tt1193473,movie,Bad Ass,1.0,0,2010,77,"Action,Crime,Drama"
769,35835,2076001,tt1193631,movie,Step Up 3D,2.0,0,2010,107,"Drama,Music,Romance"
919,39322,2276395,tt1228705,movie,Iron Man 2,1.0,0,2010,124,"Action,Adventure,Sci-Fi"
937,39614,2292978,tt1231583,movie,Due Date,1.0,0,2010,95,"Comedy,Drama"
1129,44079,2517444,tt1270798,movie,X-Men: First Class,1.0,0,2011,131,"Action,Adventure,Sci-Fi"
1171,44583,2555020,tt1279935,movie,Date Night,1.0,0,2010,88,"Comedy,Crime,Romance"
1180,44598,2557076,tt1282140,movie,Easy A,2.0,0,2010,92,"Comedy,Drama,Romance"
1192,44617,2559830,tt1285016,movie,The Social Network,1.0,0,2010,120,"Biography,Drama"
1196,44622,2560024,tt1285241,movie,Don 2,2.0,0,2011,148,"Action,Crime,Thriller"
1282,44746,2580785,tt1306980,movie,50/50,1.0,0,2011,100,"Comedy,Drama,Romance"
1363,44854,2593417,tt1320253,movie,The Expendables,2.0,0,2010,103,"Action,Adventure,Thriller"
1396,44900,2597908,tt1324999,movie,The Twilight Saga: Breaking Dawn - Part 1,2.0,0,2011,117,"Adventure,Drama,Fantasy"
1397,44901,2597912,tt1325004,movie,The Twilight Saga: Eclipse,2.0,0,2010,124,"Adventure,Drama,Fantasy"
1625,45277,2646482,tt1375666,movie,Inception,1.0,0,2010,148,"Action,Adventure,Sci-Fi"
2307,46758,2745708,tt1478338,movie,Bridesmaids,1.0,0,2011,125,"Comedy,Romance"
2895,48971,2807336,tt1542344,movie,127 Hours,1.0,0,2010,94,"Biography,Drama"
16,32,426126,tt0443272,movie,Lincoln,1.0,0,2012,150,"Biography,Drama,History"
19,37,437382,tt0454876,movie,Life of Pi,1.0,0,2012,127,"Adventure,Drama,Fantasy"
60,91,812050,tt0837562,movie,Hotel Transylvania,1.0,0,2012,91,"Animation,Comedy,Family"
64,95,822351,tt0848228,movie,The Avengers,1.0,0,2012,143,"Action,Adventure,Sci-Fi"
76,110,875900,tt0903624,movie,The Hobbit: An Unexpected Journey,2.0,0,2012,169,"Adventure,Family,Fantasy"
82,133,919292,tt0948470,movie,The Amazing Spider-Man,2.0,0,2012,136,"Action,Adventure,Sci-Fi"
