,Unnamed: 0,tconst,titleType,primaryTitle,Like,isAdult,startYear,runtimeMinutes,genres
2,140281,tt0144449,movie,Nema aviona za Zagreb,,0,2012,82,Biography
5,239336,tt0249516,movie,Foodfight!,,0,2012,91,"Action,Adventure,Animation"
6,245340,tt0255820,movie,Return to Babylon,,0,2013,75,"Biography,Comedy,Drama"
8,273490,tt0285252,movie,Life's a Beach,,0,2012,100,Comedy
10,280959,tt0293069,movie,Dark Blood,,0,2012,86,Thriller
12,293328,tt0306058,movie,Second Coming,,0,2012,95,\N
14,323992,tt0337692,movie,On the Road,,0,2012,124,"Adventure,Drama,Romance"
16,345397,tt0359950,movie,The Secret Life of Walter Mitty,,0,2013,114,"Comedy,Drama,Fantasy"
17,367702,tt0383010,movie,The Three Stooges,,0,2012,92,"Comedy,Family"
19,385602,tt0401729,movie,John Carter,,0,2012,132,"Action,Adventure,Sci-Fi"
20,388769,tt0404978,movie,Gambit,,0,2012,89,"Comedy,Crime"
21,393050,tt0409379,movie,In Secret,,0,2013,107,"Crime,Drama,Thriller"
24,409819,tt0426566,movie,Pots and Pans,,0,2012,80,"Comedy,Drama,Thriller"
25,414176,tt0431021,movie,The Possession,,0,2012,92,"Horror,Mystery,Thriller"
28,416601,tt0433533,movie,Caleuche: El llamado del Mar,,0,2012,100,"Drama,Fantasy,Horror"
29,416845,tt0433787,movie,L'apocalisse delle scimmie,,0,2012,\N,Drama
32,426126,tt0443272,movie,Lincoln,1,0,2012,150,"Biography,Drama,History"
34,434771,tt0452183,movie,Blunt Movie,,0,2013,83,"Comedy,Romance"
35,435237,tt0452664,movie,Party Crashers,,0,2012,88,Comedy
37,437382,tt0454876,movie,Life of Pi,1,0,2012,127,"Adventure,Drama,Fantasy"
38,437822,tt0455323,movie,Being Flynn,,0,2012,102,Drama
41,444387,tt0462036,movie,Steve Phoenix: The Untold Story,,0,2012,110,Drama
42,446247,tt0463960,movie,The Devil You Know,,0,2013,76,"Mystery,Thriller"
43,451162,tt0469021,movie,Alan Partridge,,0,2013,90,"Action,Comedy,Crime"
45,457226,tt0475239,movie,Clutch,,0,2012,\N,"Action,Drama"
46,457334,tt0475360,movie,Persona Au Gratin,,0,2012,93,Comedy
47,461527,tt0479700,movie,Without Warrant,,0,2013,90,"Action,Crime,Drama"
49,463257,tt0481499,movie,The Croods,,0,2013,98,"Action,Adventure,Animation"
50,466723,tt0485061,movie,U Want Me 2 Kill Him?,,0,2013,92,"Drama,Thriller"
51,467169,tt0485521,movie,Sushi in Suhl,,0,2012,100,"Comedy,Drama"
52,467609,tt0485985,movie,Red Tails,,0,2012,125,"Action,Drama,History"
53,468226,tt0486622,movie,Making Change,,0,2012,94,Drama
55,471594,tt0490075,movie,Aftermath,,0,2013,84,"Crime,Thriller"
56,476406,tt0495024,movie,Bad Blood,,0,2012,107,"Horror,Mystery,Romance"
57,477738,tt0496375,movie,Prisoners of the Sun,,0,2013,85,"Action,Adventure,Horror"
60,739012,tt0762138,movie,Syrup,,0,2013,90,"Comedy,Drama,Romance"
61,740652,tt0763831,movie,A Thousand Words,,0,2012,91,"Comedy,Drama"
62,742224,tt0765446,movie,Escape from Planet Earth,,0,2013,89,"Adventure,Animation,Comedy"
63,744865,tt0768222,movie,Night of the Templar,,0,2013,101,"Horror,Mystery"
64,747374,tt0770828,movie,Man of Steel,,0,2013,143,"Action,Adventure,Sci-Fi"
66,756880,tt0780625,movie,Santorini Blue,,0,2013,90,"Comedy,Drama"
67,763489,tt0787442,movie,The Attack,,0,2012,102,"Drama,Mystery,War"
68,766593,tt0790628,movie,The Incredible Burt Wonderstone,,0,2013,100,Comedy
69,766600,tt0790636,movie,Dallas Buyers Club,,0,2013,117,"Biography,Drama"
70,766615,tt0790653,movie,Elliot Loves,,0,2012,92,"Comedy,Romance"
71,766674,tt0790724,movie,Jack Reacher,,0,2012,130,"Action,Thriller"
72,766684,tt0790736,movie,R.I.P.D.,,0,2013,96,"Action,Adventure,Comedy"
73,766724,tt0790788,movie,The Yellow Wallpaper,,0,2012,115,Thriller
74,771264,tt0795461,movie,Scary Movie V,,0,2013,88,"Comedy,Horror"
75,779997,tt0804463,movie,Devil's Knot,,0,2013,114,"Biography,Crime,Drama"
77,780036,tt0804509,movie,The Mule,,0,2013,100,"Comedy,Drama"
79,786176,tt0810772,movie,Belle du Seigneur,,0,2012,104,"Drama,Romance"
80,786524,tt0811137,movie,The Do-Deca-Pentathlon,,0,2012,76,Comedy
81,786991,tt0811613,movie,Meridian Lines,,0,2013,\N,Drama
82,791644,tt0816442,movie,The Book Thief,,0,2013,131,"Drama,War"
83,791895,tt0816711,movie,World War Z,,0,2013,116,"Action,Adventure,Horror"
84,792713,tt0817545,movie,The Power of Few,,0,2013,96,"Action,Crime,Drama"
87,803963,tt0829176,movie,Gallowwalkers,,0,2012,90,"Action,Adventure,Fantasy"
89,809979,tt0835418,movie,The Babymakers,,0,2012,95,Comedy
90,812047,tt0837559,movie,Approaching Midnight,,0,2013,86,"Crime,Drama,Romance"
91,812050,tt0837562,movie,Hotel Transylvania,1,0,2012,91,"Animation,Comedy,Family"
92,815475,tt0841185,movie,Whatever Happened to Pete Blaggit?,,0,2012,94,"Comedy,Sci-Fi"
93,818093,tt0843839,movie,The Fallen Word,,0,2013,60,"Drama,Fantasy,Mystery"
