,Unnamed: 0,tconst,titleType,primaryTitle,Like,isAdult,startYear,runtimeMinutes,genres
103,454248,tt0472181,movie,The Smurfs,,0,2011,103,"Adventure,Animation,Comedy"
104,454462,tt0472399,movie,The Mechanic,,0,2011,93,"Action,Thriller"
105,455116,tt0473075,movie,Prince of Persia: The Sands of Time,,0,2010,116,"Action,Adventure,Fantasy"
106,455127,tt0473088,movie,Stan,,0,2011,\N,Comedy
107,455159,tt0473122,movie,Bamboo Shark,,0,2011,\N,Comedy
108,455374,tt0473343,movie,Cielito lindo,,0,2010,91,"Drama,Thriller"
109,457937,tt0475983,movie,The Deafening Silence of a Very Bright Light,,0,2010,92,Drama
110,457974,tt0476023,movie,Stiffs,,0,2010,104,Comedy
111,458995,tt0477080,movie,Unstoppable,,0,2010,98,"Action,Thriller"
113,459201,tt0477302,movie,Extremely Loud & Incredibly Close,2,0,2011,129,"Adventure,Drama,Mystery"
114,460173,tt0478304,movie,The Tree of Life,,0,2011,139,"Drama,Fantasy"
115,460521,tt0478660,movie,El horror de la dama del lago,,0,2010,90,"Fantasy,Horror,Thriller"
117,461051,tt0479204,movie,Perfect Life,,0,2010,98,"Horror,Thriller"
118,461632,tt0479807,movie,Abhishapt,,0,2011,\N,Drama
119,461812,tt0479997,movie,Season of the Witch,,0,2011,95,"Action,Adventure,Fantasy"
120,462035,tt0480239,movie,Atlas Shrugged: Part I,,0,2011,97,"Drama,Mystery,Sci-Fi"
121,462047,tt0480255,movie,The Losers,,0,2010,97,"Action,Adventure,Crime"
122,462472,tt0480687,movie,Hall Pass,2,0,2011,105,"Comedy,Romance"
123,464196,tt0482459,movie,Bandage,,0,2010,119,"Drama,Music,Romance"
124,464198,tt0482461,movie,Barry Munday,,0,2010,95,"Comedy,Drama,Romance"
126,465437,tt0483740,movie,Monkey Man,,0,2011,\N,Comedy
127,465532,tt0483839,movie,A Woman Is a Woman,,0,2010,102,"Comedy,Drama"
128,465727,tt0484037,movie,Gente mala del norte,,0,2011,97,"Drama,History"
129,466499,tt0484828,movie,La daga de Rasputín,,0,2011,99,"Adventure,Comedy"
131,471714,tt0490199,movie,PrimeMates,,0,2010,82,"Comedy,Drama"
132,471750,tt0490236,movie,The Invited,,0,2010,95,"Horror,Thriller"
133,472349,tt0490847,movie,Double Tap,,0,2011,100,"Action,Crime,Drama"
134,472647,tt0491152,movie,Something Borrowed,,0,2011,112,"Comedy,Drama,Romance"
135,473851,tt0492389,movie,Furry Vengeance,,0,2010,92,"Comedy,Family"
137,475370,tt0493949,movie,Ramona and Beezus,,0,2010,104,"Comedy,Drama,Family"
138,475643,tt0494229,movie,Good Sharma,,0,2010,100,Drama
